date,description,amount,balance_after
2026-04-01,GenAI 30days course,1499,8871
2026-04-02,Amazon upi,378,8494
2026-04-03,Amazon sub,662,7832
2026-04-04,Blinkit,749,7083
2026-04-05,Post,77,7006
2026-04-06,Puppy,500,6506
2026-04-07,Spotify,199,6307
2026-04-08,Mx + Amazon,914,5393
2026-04-09,Blinkit,255,5134
2026-04-10,Jio,769,4364
2026-04-11,PicsArt,199,4165
2026-04-12,Zomato,757,3408
2026-04-13,PicsArt,59,3349
2026-04-14,Icecreams,160,3189
2026-04-15,Playstore,98,3100
2026-04-16,Blinkit,187,2913
