date,description,amount,balance_after
2026-03-01,Online course,1299,9701
2026-03-02,Grocery app,420,9281
2026-03-03,Video subscription,299,8982
2026-03-04,Food delivery,610,8372
2026-03-05,Mobile recharge,399,7973
2026-03-06,Music subscription,199,7774
2026-03-07,Supermarket,540,7234
2026-03-08,Cloud storage,149,7085
2026-03-09,Cab ride,310,6775
2026-03-10,Coffee,180,6595
2026-03-11,Snacks,120,6475
2026-03-12,Book purchase,450,6025
2026-03-13,Utility bill,780,5245
2026-03-14,Grocery app,330,4915
2026-03-15,Play store,89,4826
2026-03-16,Food delivery,270,4556
